사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-04,과천선,1455,인덕원,467082,470839,68704,70892
2020-04,과천선,1456,평촌,344115,339833,43370,43834
2020-04,과천선,1457,범계,526677,514157,68140,66208
2020-04,분당선,1023,선릉,243929,393466,28346,38787
2020-04,분당선,1024,한티,248149,259154,41135,41192
2020-04,분당선,1025,도곡,104496,104278,24513,23821
2020-04,분당선,1026,구룡,20888,20738,8581,8623
2020-04,분당선,1027,개포동,56116,59165,13775,14162
2020-04,분당선,1028,대모산입구,54002,49478,19087,18809
2020-04,분당선,1030,수서,248660,256679,41337,42859
2020-04,분당선,1031,복정,10,0,0,0
2020-04,분당선,1846,수원,158892,111012,17853,11001
2020-04,분당선,1847,서울숲,206356,215295,19256,18401
2020-04,분당선,1848,압구정로데오,348781,402113,29522,28473
2020-04,분당선,1849,강남구청,170902,200981,23680,25805
2020-04,분당선,1850,선정릉,150792,164528,18237,17465
2020-04,분당선,1851,가천대,130806,149594,18220,19711
2020-04,분당선,1852,태평,252188,237882,64378,67155
2020-04,분당선,1853,모란,363512,362926,120145,132881
2020-04,분당선,1854,야탑,463441,491539,93865,93121
2020-04,분당선,1855,서현,453112,463142,73874,71665
2020-04,분당선,1856,수내,227761,227314,44262,42390
2020-04,분당선,1857,정자,308411,331104,42360,42080
2020-04,분당선,1858,미금,268476,286046,67008,70797
2020-04,분당선,1859,오리,205746,172328,48429,42020
2020-04,분당선,1860,이매,88667,83712,25614,24798
2020-04,분당선,1861,보정,37857,30820,11715,11307
2020-04,분당선,1862,죽전,249897,272929,42425,44472
2020-04,분당선,1863,구성,80476,82426,21448,21922
2020-04,분당선,1864,신갈,76599,74770,16188,16509
2020-04,분당선,1865,기흥,178779,168722,25766,25425
2020-04,분당선,1866,상갈,95911,90487,19226,18642
2020-04,분당선,1867,청명,72627,67426,11648,11857
2020-04,분당선,1868,영통,155381,157625,17295,17322
2020-04,분당선,1869,망포,265721,249103,22073,21198
2020-04,분당선,1870,매탄권선,84344,78999,10807,10416
2020-04,분당선,1871,수원시청,226204,256567,24309,24750
2020-04,분당선,1872,매교,37207,37889,10561,11022
2020-04,일산선,1948,원흥,168766,155141,37649,36907
2020-04,일산선,1949,지축,4,0,0,0
2020-04,일산선,1950,삼송,338220,320190,66599,66473
2020-04,일산선,1951,원당,200259,186829,59343,58650
2020-04,일산선,1952,화정,308000,319054,80416,82582
2020-04,일산선,1953,대곡,32045,23459,9927,9443
2020-04,일산선,1954,백석,180890,182306,51945,50681
2020-04,일산선,1955,마두,118436,122819,43497,44305
2020-04,일산선,1956,정발산,137225,145048,33816,31441
2020-04,일산선,1957,주엽,134642,135281,53625,55279
2020-04,일산선,1958,대화,241593,185840,51962,48389
2020-04,중앙선,1015,회기,442101,424229,89174,87656
