사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-04,7호선,2727,군자(능동),289752,221144,53425,46731
2020-04,7호선,2728,어린이대공원(세종대),234078,229989,28075,28084
2020-04,7호선,2729,건대입구,254178,275388,35522,31603
2020-04,7호선,2730,뚝섬유원지,200559,202436,30389,30736
2020-04,7호선,2731,청담,380769,432544,50501,48095
2020-04,7호선,2732,강남구청,318367,361266,32176,32402
2020-04,7호선,2733,학동,464092,508864,41161,38366
2020-04,7호선,2734,논현,418033,465465,37521,36674
2020-04,7호선,2735,반포,112665,110227,23135,22098
2020-04,7호선,2736,고속터미널,303621,259525,45107,39246
2020-04,7호선,2737,내방,265703,274405,43258,42627
2020-04,7호선,2738,이수,315033,309593,51168,48639
2020-04,7호선,2739,남성,210912,191457,47005,46953
2020-04,7호선,2740,숭실대입구(살피재),229798,227860,38153,39641
2020-04,7호선,2741,상도,198304,188526,36580,35424
2020-04,7호선,2742,장승배기,183578,174326,47889,48299
2020-04,7호선,2743,신대방삼거리,319611,298461,60479,61621
2020-04,7호선,2744,보라매,186045,184745,30741,29944
2020-04,7호선,2745,신풍,210377,196092,44618,45462
2020-04,7호선,2746,대림(구로구청),156588,154989,22939,21946
2020-04,7호선,2747,남구로,315576,334766,41357,41268
2020-04,7호선,2748,가산디지털단지,911796,920837,65573,61842
2020-04,7호선,2749,철산,442735,454752,66879,67704
2020-04,7호선,2750,광명사거리,449882,436850,107962,110255
2020-04,7호선,2751,천왕,191039,173068,36775,36620
2020-04,7호선,2752,온수(성공회대입구),205575,192065,28147,26574
2020-04,7호선,2753,까치울,154115,145873,20677,20754
2020-04,7호선,2754,부천종합운동장,91041,77258,14287,14422
2020-04,7호선,2755,춘의,188942,183700,23295,22378
2020-04,7호선,2756,신중동,290361,291382,36902,35352
2020-04,7호선,2757,부천시청,242997,238578,36747,35247
2020-04,7호선,2758,상동,262050,269981,33563,33407
2020-04,7호선,2759,삼산체육관,90589,79248,15633,15072
2020-04,7호선,2760,굴포천,179948,187548,23070,24091
2020-04,7호선,2761,부평구청,243829,195998,20811,18469
2020-04,8호선,2811,암사,354734,305045,72547,71850
2020-04,8호선,2812,천호(풍납토성),332210,392634,60012,57195
2020-04,8호선,2813,강동구청,186432,191810,41655,42195
2020-04,8호선,2814,몽촌토성(평화의문),102261,110019,22986,22147
2020-04,8호선,2815,잠실(송파구청),269173,313220,42329,40496
2020-04,8호선,2816,석촌,140946,166111,33522,35996
2020-04,8호선,2817,송파,156306,147004,37549,36692
2020-04,8호선,2818,가락시장,135171,158704,45761,47135
2020-04,8호선,2819,문정,409120,428893,39768,39664
2020-04,8호선,2820,장지,341234,328028,51232,48625
2020-04,8호선,2821,복정,200824,170604,30146,27675
2020-04,8호선,2822,산성,100902,95897,24919,27488
2020-04,8호선,2823,남한산성입구(성남법원.검찰청),247794,217535,56872,54582
2020-04,8호선,2824,단대오거리,188576,177015,48778,47665
2020-04,8호선,2825,신흥,76997,81713,29255,30735
2020-04,8호선,2826,수진,85472,74930,29162,28522
2020-04,8호선,2827,모란,66520,52021,40003,28839
2020-04,9호선,4101,개화,46762,33206,10300,8528
2020-04,9호선,4102,김포공항,133195,175061,11056,12466
2020-04,9호선,4103,공항시장,48981,53836,17693,19416
2020-04,9호선,4104,신방화,120690,114785,30715,30618
2020-04,9호선,4105,마곡나루(서울식물원),205494,205585,17430,17303
2020-04,9호선,4106,양천향교,174691,178508,30589,30751
2020-04,9호선,4107,가양,368520,352855,89968,87145
2020-04,9호선,4108,증미,125437,123401,28936,29284
2020-04,9호선,4109,등촌,175307,171341,54795,55010
2020-04,9호선,4110,염창,334627,322341,47862,47640
2020-04,9호선,4111,신목동,70969,62936,12898,12093
2020-04,9호선,4112,선유도,143915,139961,18709,18227
2020-04,9호선,4113,당산,364240,359993,41801,37972
2020-04,9호선,4114,국회의사당,286627,291856,28952,24861
2020-04,9호선,4115,여의도,454566,441655,27576,25891
2020-04,9호선,4116,샛강,97458,102230,16616,16019
2020-04,9호선,4117,노량진,553753,558152,66480,67976
2020-04,9호선,4118,노들,76673,63428,20844,19232
2020-04,9호선,4119,흑석(중앙대입구),131715,138940,35348,35688
2020-04,9호선,4120,동작(현충원),32480,26906,7566,6891
2020-04,9호선,4121,구반포,44381,47477,13549,13581
2020-04,9호선,4122,신반포,44876,45516,11016,10646
2020-04,9호선,4123,고속터미널,221968,302117,31873,35949
2020-04,9호선,4124,사평,49251,47056,10567,10432
2020-04,9호선,4125,신논현,665983,687520,39934,38255
2020-04,공항철도 1호선,4201,서울역,122315,116587,21537,19986
2020-04,공항철도 1호선,4202,공덕,41948,54864,4488,5328
2020-04,공항철도 1호선,4203,홍대입구,190609,197301,11466,11103
2020-04,공항철도 1호선,4204,디지털미디어시티,248727,229474,15122,14289
2020-04,공항철도 1호선,4206,마곡나루(서울식물원),143208,133040,7318,7384
2020-04,공항철도 1호선,4207,김포공항,157227,100741,11613,8021
2020-04,공항철도 1호선,4208,계양,194867,175797,17865,16638
2020-04,공항철도 1호선,4209,검암,155879,150620,12990,13236
2020-04,공항철도 1호선,4210,청라국제도시,129318,121208,7166,7084
2020-04,공항철도 1호선,4211,운서,131725,134473,17422,17291
2020-04,공항철도 1호선,4212,공항화물청사,48406,54157,7266,7177
2020-04,공항철도 1호선,4213,인천공항1터미널,80120,77830,9725,9869
2020-04,공항철도 1호선,4215,인천공항2터미널,45168,39123,4616,4180
2020-04,공항철도 1호선,4217,영종,51495,52231,12683,12792
2020-04,9호선2~3단계,4126,언주,184170,185046,16729,16460
2020-04,9호선2~3단계,4127,선정릉,180198,194396,14619,15313
2020-04,9호선2~3단계,4128,삼성중앙,120662,124851,13961,13767
2020-04,9호선2~3단계,4129,봉은사,286951,290811,26363,24941
2020-04,9호선2~3단계,4130,종합운동장,80765,78161,10376,9485
2020-04,9호선2~3단계,4131,삼전,120224,116678,22734,22432
2020-04,9호선2~3단계,4132,석촌고분,101809,98465,20369,20688
2020-04,9호선2~3단계,4133,석촌,145953,123985,20370,17347
2020-04,9호선2~3단계,4134,송파나루,79452,83684,16093,16390
2020-04,9호선2~3단계,4135,한성백제,42759,36839,9468,8315
2020-04,9호선2~3단계,4136,올림픽공원(한국체대),100137,98082,12730,13004
2020-04,9호선2~3단계,4137,둔촌오륜,15232,14256,3681,3556
2020-04,9호선2~3단계,4138,중앙보훈병원,144249,126422,51495,50918
2020-04,우이신설선,4701,북한산우이,47168,43459,28452,30188
2020-04,우이신설선,4702,솔밭공원,32398,29617,20209,21050
2020-04,우이신설선,4703,4.19민주묘지,39048,37343,26386,24067
2020-04,우이신설선,4704,가오리,58169,53523,32111,33769
2020-04,우이신설선,4705,화계,45564,40240,28943,29261
2020-04,우이신설선,4706,삼양,26089,27511,20682,23029
2020-04,우이신설선,4707,삼양사거리,29363,29346,26671,27143
2020-04,우이신설선,4708,솔샘,98088,86997,25955,27247
2020-04,우이신설선,4709,북한산보국문,100404,92035,30070,30669
2020-04,우이신설선,4710,정릉,66179,59076,33329,32005
2020-04,우이신설선,4711,성신여대입구(돈암),49730,61501,20451,19964
2020-04,우이신설선,4712,보문,23184,23170,11302,11781
2020-04,우이신설선,4713,신설동,30248,32349,17747,15876
